date,close,open,high,low
-286329600,55.310001,55.310001,55.310001,55.310001
-286243200,55.470001,55.470001,55.470001,55.470001
-286156800,56.02,56.02,56.02,56.02
-286070400,56.150002,56.150002,56.150002,56.150002
-285984000,56.650002,56.650002,56.650002,56.650002
-285724800,56.849998,56.849998,56.849998,56.849998
-285638400,56.880001,56.880001,56.880001,56.880001
-285552000,56.84,56.84,56.84,56.84
-285465600,56.68,56.68,56.68,56.68
-285379200,57.200001,57.200001,57.200001,57.200001
-285120000,57.130001,57.130001,57.130001,57.130001
-285033600,57.09,57.09,57.09,57.09
-284947200,57.549999,57.549999,57.549999,57.549999
-284860800,57.389999,57.389999,57.389999,57.389999
-284774400,57.439999,57.439999,57.439999,57.439999
-284428800,57.52,57.52,57.52,57.52
-284342400,57.779999,57.779999,57.779999,57.779999
-284256000,58.049999,58.049999,58.049999,58.049999
-284169600,58.110001,58.110001,58.110001,58.110001
-283824000,57.57,57.57,57.57,57.57
-283737600,58.360001,58.360001,58.360001,58.360001
-283651200,58.57,58.57,58.57,58.57
-283564800,58.400002,58.400002,58.400002,58.400002
-283305600,58.810001,58.810001,58.810001,58.810001
-283219200,58.970001,58.970001,58.970001,58.970001
-283132800,59.139999,59.139999,59.139999,59.139999
-283046400,59.32,59.32,59.32,59.32
-282960000,59.599998,59.599998,59.599998,59.599998
-282700800,59.580002,59.580002,59.580002,59.580002
-282614400,59.639999,59.639999,59.639999,59.639999
-282528000,59.68,59.68,59.68,59.68
-282441600,59.77,59.77,59.77,59.77
-282355200,59.959999,59.959999,59.959999,59.959999
-282096000,60.290001,60.290001,60.290001,60.290001
-282009600,60.450001,60.450001,60.450001,60.450001
-281923200,60.529999,60.529999,60.529999,60.529999
-281836800,60.619999,60.619999,60.619999,60.619999
-281750400,61.240002,61.240002,61.240002,61.240002
-281491200,61.970001,61.970001,61.970001,61.970001
-281404800,61.779999,61.779999,61.779999,61.779999
-281318400,61.900002,61.900002,61.900002,61.900002
-281232000,62.299999,62.299999,62.299999,62.299999
-281145600,62.220001,62.220001,62.220001,62.220001
-280886400,61.759998,61.759998,61.759998,61.759998
-280800000,61.650002,61.650002,61.650002,61.650002
-280713600,62.209999,62.209999,62.209999,62.209999
-280627200,62.02,62.02,62.02,62.02
-280540800,61.5,61.5,61.5,61.5
-280281600,61.139999,61.139999,61.139999,61.139999
-280195200,61.41,61.41,61.41,61.41
-280108800,61.919998,61.919998,61.919998,61.919998
-280022400,62.299999,62.299999,62.299999,62.299999
-279936000,62.099998,62.099998,62.099998,62.099998
-279676800,62.32,62.32,62.32,62.32
-279590400,62.360001,62.360001,62.360001,62.360001
-279417600,62.59,62.59,62.59,62.59
-279331200,62.84,62.84,62.84,62.84
-279072000,63.299999,63.299999,63.299999,63.299999
-278985600,63.439999,63.439999,63.439999,63.439999
-278899200,63.43,63.43,63.43,63.43
-278812800,63.849998,63.849998,63.849998,63.849998
-278726400,63.950001,63.950001,63.950001,63.950001
-278467200,64.050003,64.050003,64.050003,64.050003
-278380800,63.470001,63.470001,63.470001,63.470001
-278294400,63.439999,63.439999,63.439999,63.439999
-278208000,63.5,63.5,63.5,63.5
-278121600,63.48,63.48,63.48,63.48
-277862400,63.66,63.66,63.66,63.66
-277776000,63.380001,63.380001,63.380001,63.380001
-277689600,63.57,63.57,63.57,63.57
-277603200,64.209999,64.209999,64.209999,64.209999
-277516800,64,64,64,64
-277257600,64.860001,64.860001,64.860001,64.860001
-277171200,64.739998,64.739998,64.739998,64.739998
-277084800,64.699997,64.699997,64.699997,64.699997
-276998400,64.529999,64.529999,64.529999,64.529999
-276912000,64.419998,64.419998,64.419998,64.419998
-276652800,64.349998,64.349998,64.349998,64.349998
-276566400,64.379997,64.379997,64.379997,64.379997
-276480000,64.93,64.93,64.93,64.93
-276393600,65.059998,65.059998,65.059998,65.059998
-276048000,65.599998,65.599998,65.599998,65.599998
-275961600,65.660004,65.660004,65.660004,65.660004
-275875200,65.459999,65.459999,65.459999,65.459999
-275788800,65.610001,65.610001,65.610001,65.610001
-275702400,65.959999,65.959999,65.959999,65.959999
-275443200,66.529999,66.529999,66.529999,66.529999
-275356800,66.620003,66.620003,66.620003,66.620003
-275270400,66.309998,66.309998,66.309998,66.309998
-275184000,66.260002,66.260002,66.260002,66.260002
-275097600,66.370003,66.370003,66.370003,66.370003
-274838400,68.68,68.68,68.68,68.68
-274752000,66.199997,66.199997,66.199997,66.199997
-274665600,65.809998,65.809998,65.809998,65.809998
-274579200,65.82,65.82,65.82,65.82
-274492800,65.769997,65.769997,65.769997,65.769997
-274233600,64.400002,64.400002,64.400002,64.400002
-274147200,65.300003,65.300003,65.300003,65.300003
-274060800,65.550003,65.550003,65.550003,65.550003
-273974400,65.459999,65.459999,65.459999,65.459999
-273888000,65.309998,65.309998,65.309998,65.309998
-273628800,65.169998,65.169998,65.169998,65.169998
-273542400,65.639999,65.639999,65.639999,65.639999
-273456000,66.18,66.18,66.18,66.18
-273369600,66.440002,66.440002,66.440002,66.440002
-273283200,66.519997,66.519997,66.519997,66.519997
-273024000,66.410004,66.410004,66.410004,66.410004
-272937600,66.470001,66.470001,66.470001,66.470001
-272851200,66.410004,66.410004,66.410004,66.410004
-272764800,66.389999,66.389999,66.389999,66.389999
-272678400,66.5,66.5,66.5,66.5
-272419200,66.830002,66.830002,66.830002,66.830002
-272332800,67.080002,67.080002,67.080002,67.080002
-272246400,67.389999,67.389999,67.389999,67.389999
-272160000,66.989998,66.989998,66.989998,66.989998
-272073600,67.269997,67.269997,67.269997,67.269997
